,x,y,w,h,conf,r
0,8422.4,6475.6,76.0,70.1,0.899,73.05
1,676.3,1732.2,56.0,53.7,0.895,54.85
2,4809.9,3169.7,85.7,82.3,0.895,84.0
3,29892.4,27205.2,25.8,24.8,0.889,25.3
4,32929.6,28781.2,24.0,23.7,0.887,23.85
5,31569.1,28922.1,57.5,57.3,0.886,57.4
6,33010.1,29937.4,94.8,95.7,0.885,95.25
7,1638.7,303.7,70.2,71.5,0.885,70.85
8,28875.8,26548.6,67.7,70.4,0.884,69.05000000000001
9,29048.1,26472.7,38.4,39.2,0.883,38.8
10,2289.7,691.0,90.4,87.2,0.882,88.80000000000001
11,3328.2,2180.5,68.3,65.7,0.881,67.0
12,2468.5,1480.2,103.7,99.5,0.881,101.6
13,2579.9,1518.1,48.0,47.9,0.88,47.95
14,29084.2,26235.4,42.6,43.8,0.88,43.2
15,7405.8,6941.0,25.2,24.4,0.879,24.799999999999997
16,3869.7,3851.9,46.8,46.8,0.878,46.8
17,28393.0,27445.3,24.3,23.4,0.878,23.85
18,1566.8,3035.0,61.5,60.2,0.877,60.85
19,29429.7,26308.1,63.1,61.8,0.875,62.45
20,6787.6,7435.9,39.0,39.1,0.874,39.05
21,31468.1,30455.6,22.4,22.8,0.874,22.6
22,30783.7,29590.4,40.1,37.3,0.874,38.7
23,30978.2,29766.8,52.4,52.2,0.874,52.3
24,31503.9,29228.6,24.2,23.9,0.873,24.049999999999997
25,2842.3,2919.0,49.1,48.5,0.873,48.8
26,31327.3,28719.6,26.4,24.9,0.872,25.65
27,1555.9,1857.8,64.6,66.1,0.872,65.35
28,30458.7,27018.9,27.7,26.0,0.871,26.85
29,28455.0,26613.6,54.6,53.2,0.871,53.900000000000006
30,3318.7,4461.5,44.0,42.4,0.87,43.2
31,4125.5,2670.3,59.3,56.9,0.87,58.099999999999994
32,31955.4,28070.3,61.1,60.3,0.87,60.7
33,32198.6,30394.6,52.2,50.3,0.869,51.25
34,2811.5,4177.4,44.8,46.9,0.869,45.849999999999994
35,1226.1,1186.2,65.4,63.4,0.869,64.4
36,32989.4,29863.9,35.5,33.5,0.869,34.5
37,32322.3,29238.4,52.4,50.5,0.869,51.45
38,3419.2,4761.3,50.3,50.3,0.869,50.3
39,32080.7,30323.6,36.3,38.7,0.869,37.5
40,2101.0,1224.8,56.4,54.1,0.868,55.25
41,33829.2,29697.1,26.0,25.5,0.868,25.75
42,28872.6,26685.9,44.8,43.8,0.868,44.3
43,30830.6,27275.0,21.9,20.9,0.867,21.4
44,6505.1,6868.4,23.8,24.6,0.867,24.200000000000003
45,32563.8,29266.3,33.4,33.5,0.866,33.45
46,7283.4,7139.3,51.4,49.7,0.866,50.55
