,x,y,w,h,conf,r
0,27807.1,22932.3,25.1,23.3,0.898,24.200000000000003
1,27838.9,22970.3,66.0,60.7,0.897,63.35
2,29040.3,25356.7,85.0,86.2,0.895,85.6
3,28553.8,24380.8,24.2,23.3,0.893,23.75
4,23568.7,21269.6,21.3,20.5,0.892,20.9
5,22755.1,21055.4,22.0,21.3,0.891,21.65
6,24865.8,20705.2,26.6,25.0,0.891,25.8
7,28527.4,24028.9,20.0,19.4,0.887,19.7
8,24446.7,21040.3,32.2,32.6,0.886,32.400000000000006
9,29905.2,27093.2,23.2,22.9,0.886,23.049999999999997
10,26540.9,22420.3,52.8,54.7,0.883,53.75
11,23849.9,20048.5,78.8,78.5,0.881,78.65
12,27642.6,23159.2,24.7,24.4,0.881,24.549999999999997
13,28318.8,25421.8,25.2,25.8,0.881,25.5
14,29313.0,26049.7,34.1,33.4,0.881,33.75
15,28816.2,24704.5,21.7,20.6,0.88,21.15
16,28969.3,25499.1,46.9,46.9,0.88,46.9
17,29623.0,26281.8,28.2,25.5,0.879,26.85
18,28470.7,25078.7,14.3,13.9,0.878,14.100000000000001
19,23577.9,21548.3,11.2,10.9,0.877,11.05
20,26594.2,21904.4,19.2,18.2,0.877,18.7
21,28952.0,24900.8,34.1,35.1,0.877,34.6
22,27070.4,22654.1,44.0,44.2,0.876,44.1
23,28959.6,25019.3,39.5,38.0,0.875,38.75
24,27155.0,22226.4,24.8,24.8,0.875,24.8
25,25817.3,21930.4,25.8,25.7,0.873,25.75
26,28219.4,25334.6,44.9,47.7,0.873,46.3
27,27053.6,23480.4,25.2,24.1,0.873,24.65
28,28632.4,24323.5,34.4,35.5,0.873,34.95
29,26150.5,22321.1,45.5,49.0,0.873,47.25
30,29405.4,26189.2,23.2,23.5,0.873,23.35
31,24744.7,20753.7,20.5,20.4,0.872,20.45
32,29341.3,25572.1,22.8,22.1,0.872,22.450000000000003
33,29920.2,26070.3,46.3,48.1,0.872,47.2
34,27537.4,22765.6,35.2,35.0,0.872,35.1
35,24904.3,21290.8,18.0,17.7,0.871,17.85
36,26733.7,22110.1,38.5,38.7,0.871,38.6
37,22827.8,20154.9,24.8,23.7,0.87,24.25
38,29554.4,26791.8,21.5,21.0,0.869,21.25
39,27051.4,23823.0,37.2,37.9,0.869,37.55
40,24290.9,21190.0,25.1,24.5,0.869,24.8
41,26670.2,21940.2,13.8,13.3,0.869,13.55
